"","county_name","CNTYFIPS","serial","popuptxt"
"63","Clark, NV","32003",2,"<strong>Clark, NV</strong><br />Unknown | Other or type unknown: 3<br />Over 50 | Asphyxiation - includes death by gas: 2"
"64","Douglas, NE","31055",1,"<strong>Douglas, NE</strong><br />15-19 | Handgun - pistol, revolver, etc: 4"
"65","St. Louis city, MO","29510",6,"<strong>St. Louis city, MO</strong><br />20-50 | Firearm, type not stated: 25<br />15-19 | Firearm, type not stated: 8<br />20-50 | Other or type unknown: 6<br />20-50 | Blunt object - hammer, club, etc: 3<br />Over 50 | Other or type unknown: 3<br />20-50 | Rifle: 2"
"66","Pulaski, MO","29169",1,"<strong>Pulaski, MO</strong><br />20-50 | Other or type unknown: 2"
"67","Leflore, MS","28083",1,"<strong>Leflore, MS</strong><br />20-50 | Firearm, type not stated: 2"
"68","Hennepin, MN","27053",1,"<strong>Hennepin, MN</strong><br />20-50 | Other or type unknown: 6"
"69","Wayne, MI","26163",2,"<strong>Wayne, MI</strong><br />Unknown | Firearm, type not stated: 3<br />0-14 | Fire: 2"
"70","Saginaw, MI","26145",1,"<strong>Saginaw, MI</strong><br />20-50 | Firearm, type not stated: 4"
"71","Jackson, MI","26075",1,"<strong>Jackson, MI</strong><br />0-14 | Personal weapons, includes beating: 2"
"72","Ingham, MI","26065",1,"<strong>Ingham, MI</strong><br />20-50 | Firearm, type not stated: 3"
"73","Genesee, MI","26049",5,"<strong>Genesee, MI</strong><br />20-50 | Firearm, type not stated: 7<br />20-50 | Other or type unknown: 6<br />0-14 | Personal weapons, includes beating: 4<br />15-19 | Handgun - pistol, revolver, etc: 3<br />Over 50 | Firearm, type not stated: 2"
"74","Clinton, MI","26037",1,"<strong>Clinton, MI</strong><br />20-50 | Personal weapons, includes beating: 3"
"75","Suffolk, MA","25025",2,"<strong>Suffolk, MA</strong><br />20-50 | Handgun - pistol, revolver, etc: 17<br />20-50 | Firearm, type not stated: 9"
"76","Hampden, MA","25013",1,"<strong>Hampden, MA</strong><br />Over 50 | Other or type unknown: 2"
"77","Prince George's, MD","24033",1,"<strong>Prince George's, MD</strong><br />Unknown | Other or type unknown: 2"
"78","Harford, MD","24025",1,"<strong>Harford, MD</strong><br />20-50 | Other or type unknown: 2"
"79","Frederick, MD","24021",1,"<strong>Frederick, MD</strong><br />0-14 | Other or type unknown: 3"
"80","Orleans Parish, LA","22071",3,"<strong>Orleans Parish, LA</strong><br />20-50 | Firearm, type not stated: 18<br />20-50 | Blunt object - hammer, club, etc: 3<br />Over 50 | Firearm, type not stated: 3"
"81","Jefferson Parish, LA","22051",2,"<strong>Jefferson Parish, LA</strong><br />20-50 | Other or type unknown: 3<br />15-19 | Rifle: 2"
"82","East Baton Rouge Parish, LA","22033",1,"<strong>East Baton Rouge Parish, LA</strong><br />20-50 | Other or type unknown: 3"
"83","Jefferson, KY","21111",2,"<strong>Jefferson, KY</strong><br />Over 50 | Knife or cutting instrument: 3<br />20-50 | Firearm, type not stated: 2"
"84","Greenup, KY","21089",1,"<strong>Greenup, KY</strong><br />20-50 | Knife or cutting instrument: 2"
"85","Franklin, KY","21073",1,"<strong>Franklin, KY</strong><br />Over 50 | Knife or cutting instrument: 3"
"86","Shawnee, KS","20177",1,"<strong>Shawnee, KS</strong><br />20-50 | Firearm, type not stated: 3"
"87","Bremer, IA","19017",1,"<strong>Bremer, IA</strong><br />0-14 | Other or type unknown: 2"
"88","Marion, IN","18097",2,"<strong>Marion, IN</strong><br />20-50 | Other or type unknown: 6<br />Over 50 | Other or type unknown: 2"
"89","Lake, IN","18089",2,"<strong>Lake, IN</strong><br />20-50 | Strangulation - hanging: 3<br />Unknown | Other or type unknown: 3"
"90","Allen, IN","18003",1,"<strong>Allen, IN</strong><br />15-19 | Firearm, type not stated: 2"
"91","Cook, IL","17031",4,"<strong>Cook, IL</strong><br />Over 50 | Strangulation - hanging: 5<br />0-14 | Blunt object - hammer, club, etc: 4<br />20-50 | Asphyxiation - includes death by gas: 4<br />20-50 | Shotgun: 2"
"92","Richmond, GA","13245",1,"<strong>Richmond, GA</strong><br />20-50 | Blunt object - hammer, club, etc: 2"
"93","Fulton, GA","13121",1,"<strong>Fulton, GA</strong><br />20-50 | Blunt object - hammer, club, etc: 5"
"94","Dougherty, GA","13095",1,"<strong>Dougherty, GA</strong><br />20-50 | Other or type unknown: 3"
"95","DeKalb, GA","13089",1,"<strong>DeKalb, GA</strong><br />20-50 | Rifle: 2"
"96","Coffee, GA","13069",1,"<strong>Coffee, GA</strong><br />20-50 | Other or type unknown: 2"
"97","Cobb, GA","13067",1,"<strong>Cobb, GA</strong><br />15-19 | Blunt object - hammer, club, etc: 2"
"98","Orange, FL","12095",1,"<strong>Orange, FL</strong><br />Over 50 | Other or type unknown: 2"
"99","Monroe, FL","12087",1,"<strong>Monroe, FL</strong><br />20-50 | Other or type unknown: 2"
"100","Leon, FL","12073",1,"<strong>Leon, FL</strong><br />20-50 | Firearm, type not stated: 3"
"101","Lake, FL","12069",1,"<strong>Lake, FL</strong><br />20-50 | Other or type unknown: 2"
"102","District of Columbia, DC","11001",1,"<strong>District of Columbia, DC</strong><br />Over 50 | Asphyxiation - includes death by gas: 3"
"103","Hartford, CT","09003",1,"<strong>Hartford, CT</strong><br />20-50 | Firearm, type not stated: 3"
"104","San Joaquin, CA","06077",2,"<strong>San Joaquin, CA</strong><br />0-14 | Handgun - pistol, revolver, etc: 2<br />15-19 | Other or type unknown: 2"
"105","San Bernardino, CA","06071",1,"<strong>San Bernardino, CA</strong><br />Over 50 | Firearm, type not stated: 2"
"106","Nevada, CA","06057",1,"<strong>Nevada, CA</strong><br />Over 50 | Other or type unknown: 2"
"107","Monterey, CA","06053",3,"<strong>Monterey, CA</strong><br />20-50 | Firearm, type not stated: 4<br />20-50 | Blunt object - hammer, club, etc: 2<br />Over 50 | Firearm, type not stated: 2"
"108","Los Angeles, CA","06037",6,"<strong>Los Angeles, CA</strong><br />15-19 | Other or type unknown: 4<br />15-19 | Blunt object - hammer, club, etc: 3<br />Unknown | Fire: 3<br />0-14 | Rifle: 2<br />15-19 | Rifle: 2<br />Unknown | Other or type unknown: 2"
"109","Fresno, CA","06019",1,"<strong>Fresno, CA</strong><br />15-19 | Handgun - pistol, revolver, etc: 2"
"110","Contra Costa, CA","06013",1,"<strong>Contra Costa, CA</strong><br />15-19 | Handgun - pistol, revolver, etc: 5"
"111","Alameda, CA","06001",6,"<strong>Alameda, CA</strong><br />20-50 | Firearm, type not stated: 13<br />0-14 | Handgun - pistol, revolver, etc: 4<br />20-50 | Blunt object - hammer, club, etc: 4<br />15-19 | Rifle: 3<br />20-50 | Other or type unknown: 3<br />Over 50 | Rifle: 2"
"112","Clark, AR","05019",1,"<strong>Clark, AR</strong><br />0-14 | Firearm, type not stated: 2"
"113","Pinal, AZ","04021",2,"<strong>Pinal, AZ</strong><br />Over 50 | Blunt object - hammer, club, etc: 2<br />Unknown | Firearm, type not stated: 2"
"114","Pima, AZ","04019",1,"<strong>Pima, AZ</strong><br />Over 50 | Blunt object - hammer, club, etc: 3"
"115","Maricopa, AZ","04013",1,"<strong>Maricopa, AZ</strong><br />15-19 | Firearm, type not stated: 3"
"116","Madison, AL","01089",2,"<strong>Madison, AL</strong><br />20-50 | Handgun - pistol, revolver, etc: 3<br />15-19 | Handgun - pistol, revolver, etc: 2"
"117","Lee, AL","01081",1,"<strong>Lee, AL</strong><br />20-50 | Handgun - pistol, revolver, etc: 2"
"118","Jefferson, AL","01073",1,"<strong>Jefferson, AL</strong><br />20-50 | Other or type unknown: 2"
